,,,,,,,,,,# veces usado,Palabra,# de veces  usado
foco xiaomi yeelight,50,Alto,100,,,xiaomi,,,,,,
luces inteligentes para el hogar,50,Alto,100,,,,Non-Brands,,,,,
sonoff enchufe,50,Alto,100,,,,,sonoff,,,,
comparativa alexa google home,50,Alto,86,,,google,,,,,,
focos para google home,500,Alto,100,,,google,,,,,,
pulsador persiana wifi,50,Desconocido,,,,,Non-Brands,,,,,
interruptor de google,50,Bajo,6,,,google,,,,,,
interruptor inalambrico wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor luz alexa,50,Alto,100,,,google,,,,,,
tuya interruptor,50,Alto,100,smart,,,,,,,,
foco sengled,500,Alto,100,,,,,sengled,,,,
control persianas wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente tuya,50,Alto,100,smart,,,,,,,,
sistema casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor alexa sin neutro,50,Desconocido,,,,,Non-Brands,,,,,
siri conoces a alexa,50,Bajo,0,,siri,google,,,,,,
sistema de casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
steren interruptor wifi,50,Alto,100,,,steren,,,,,,
focos inteligentes amazon,500,Alto,100,,,amazon,,,,,,
mini interruptor wifi,50,Alto,100,mini,,,,sonoff,,,,
dispositivos para casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor tuya smart,50,Alto,100,smart,,,,,,,,
philips hue foco,5000,Alto,100,,,philips,,,,,,
apagadores alexa,500,Alto,100,,,google,,,,,,
persianas con alexa,50,Alto,100,,,google,,,,,,
foco inteligente google,500,Alto,100,,,google,,,,,,
interruptores compatibles con alexa,50,Alto,100,,,google,,,,,,
pulsador inteligente,50,Alto,100,,,,Non-Brands,,,,,
focos inteligentes para google home,50,Alto,100,,,google,,,,,,
amazon interruptor wifi,50,Alto,100,,,amazon,,,,,,
apagadores sonoff,500,Alto,100,,,,,sonoff,,,,
interruptores de luz domotica,50,Alto,100,,,,Non-Brands,,,,,
hogar inteligente alexa,50,Alto,98,,,,Non-Brands,,,,,
alexa focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
asistente personal inteligente hecho por microsoft,50,Bajo,0,,,microsoft,,,,,,
interruptor de luz alexa,50,Alto,100,,,google,,,,,,
interruptor de luz inteligente wifi,50,Alto,100,smart,,,,,,,,
interruptor domotico sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor doble wifi,50,Desconocido,,,,,Non-Brands,,,,,
foco inteligente rgb,50,Alto,100,,,,Non-Brands,,,,,
apagadores inteligentes wifi,500,Alto,100,,,,Non-Brands,,,,,
precio de focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
automatizar casas,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi 12v,50,Alto,100,,,,Non-Brands,,,,,
interruptores inteligentes sonoff,50,Alto,100,,,,,sonoff,,,,
casas domotizadas,50,Bajo,0,,,,Non-Brands,,,,,
interruptor hue,50,Alto,100,,,philips,,,,,,
aqara interruptor,50,Alto,100,,,xiaomi,,,,,,
luces smart home,50,Alto,100,smart,,,,,,,,
foco yeelight,50,Alto,100,,,xiaomi,,,,,,
asistente de google amazon,50,Alto,100,,,"google, amazon",,,,,,
automatizar casa con alexa,50,Alto,100,,,,Non-Brands,,,,,
foco xiaomi mi led smart bulb,50,Alto,100,smart,,xiaomi,,mi,,,,
amazon focos inteligentes,50,Alto,100,,,amazon,,,,,,
interruptor de luz inteligente alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi amazon,50,Alto,100,,,amazon,,,,,,
interruptor alexa amazon,50,Alto,100,smart,,amazon,,,,,,
interruptores para alexa,50,Alto,100,,,google,,,,,,
siri te cae bien alexa,50,Bajo,0,,siri,google,,,,,,
foco inteligente lloyd's,500,Alto,100,,lloyds,,Non-Brands,,,,,
foco inteligente mercado libre,50,Alto,100,,,,,mercado libre,,,,
comparacion alexa y google home,50,Alto,97,,,google,,,,,,
automatizacion de casas inteligentes,50,Alto,93,,,,Non-Brands,,,,,
alexa interruptor luz,50,Alto,100,,,google,,,,,,
interruptor inteligente wifi sonoff,50,Alto,100,,,,,sonoff,,,,
casa inteligente google home,50,Alto,100,,,google,,,,,,
foco led rgb wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor sonoff sin neutro,50,Alto,100,,,,,sonoff,,,,
foco inteligente nexxt,50,Alto,100,,,,,nexxt,,,,
asistente de voz google home,50,Alto,100,mini,,google,,,,,,
foco wifi walmart,50,Alto,100,,,walmart,,,,,,
moes interruptor,50,Alto,100,,,,Non-Brands,,,,,
apple kit home,5000,Alto,100,smart,homekit,apple,,,,,,
interruptor inteligente amazon,50,Alto,100,,,amazon,,,,,,
interruptor persiana wifi sonoff,50,Desconocido,,,,,,sonoff,,,,
siri inteligente,50,Alto,100,,siri,google,,,,,,
interruptor inteligente sin cable neutro,50,Alto,100,,,,Non-Brands,,,,,
los mejores focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
foco led alexa,50,Alto,100,,,,Non-Brands,,,,,
focos para alexa amazon,50,Alto,100,,para echo,amazon,,,,,,
focos inteligentes precio,500,Alto,100,,,,Non-Brands,,,,,
voz inteligente,50,Alto,80,,,,Non-Brands,,,,,
broadlink interruptor,50,Alto,100,,,,,broadlink,,,,
focos homekit,50,Alto,100,,homekit,apple,,,,,,
meross interruptor,50,Alto,100,,,,Non-Brands,,,,,
casa inteligente con arduino,50,Alto,100,,,,,arduino,,,,
home depot focos inteligentes,50,Alto,100,,,home depot,,,,,,
interruptor google,50,Alto,100,,,google,,,,,,
sonoff wifi interruptor,50,Alto,100,,,,,sonoff,,,,
interruptor wifi exterior,50,Alto,100,,,,Non-Brands,,,,,
smart life interruptor wifi,50,Alto,100,smart,,,,,,,,
foco smart xiaomi,50,Alto,93,smart,,xiaomi,,mi,,,,
focos google,50,Alto,100,,,google,,,,,,
tech smart home,50,Alto,100,smart,,,,,,,,
interruptor persiana homekit,,Desconocido,,,homekit,apple,,,,,,
interruptor wifi sin cable neutro,50,Alto,100,,,,Non-Brands,,,,,
interruptor domotico wifi,50,Alto,93,,,,Non-Brands,,,,,
focos wifi home depot,50,Alto,100,,,home depot,,,,,,
steren casa inteligente,50,Alto,100,,,steren,,,,,,
foco led inteligente wifi,50,Alto,100,,,,Non-Brands,,,,,
sistema inteligente para casas alexa,50,Alto,100,,,,Non-Brands,,,,,
automatizar luces de casa,50,Alto,98,,,,Non-Brands,,,,,
philips hue interruptor smart button,50,Desconocido,,smart,,philips,,,,,,
una casa inteligente,50,Alto,89,,,,Non-Brands,,,,,
asistente de google conoces a alexa,50,Bajo,0,,siri,google,,,,,,
foco inteligente alexa home depot,50,Alto,100,,,home depot,,,,,,
ewelink interruptor inteligente,50,Alto,100,,,,,sonoff,,,,
tu casa inteligente,50,Alto,97,,tu hogar inteligente,,Non-Brands,,,,,
focos con alexa,50,Alto,100,,,,Non-Brands,,,,,
entrenar asistente de google,50,Bajo,0,,,google,,,,,,
foco smart wifi multicolor,50,Alto,100,smart,,,,,,,,
sonoff enchufe wifi,50,Alto,100,,,,,sonoff,,,,
domótica en casa 2020,50,Desconocido,,,tu hogar inteligente,,Non-Brands,,,,,
focos inteligentes compatibles con google home,50,Alto,100,,,google,,,,,,
interruptor inteligente homekit,50,Medio,50,,homekit,apple,,,,,,
apagadores inteligentes de escalera,500,Alto,100,,,,Non-Brands,,,,,
las casas inteligentes,50,Bajo,6,,,,Non-Brands,,,,,
foco led wifi steren,50,Alto,100,,,steren,,,,,,
focos inteligentes philips hue,50,Alto,100,,,philips,,,,,,
smart led foco inteligente,50,Alto,100,smart,,,,,,,,
focos led colores philips,50,Alto,100,,,philips,,,,,,
productos para casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor persiana wifi smart life,50,Desconocido,,smart,,,,,,,,
foco inteligente wiz,50,Alto,100,,,,Non-Brands,,,,,
smart house google,50,Alto,100,smart,,google,,,,,,
mejor interruptor wifi,50,Alto,100,,,,Non-Brands,,,,,
casa inteligente precio,50,Alto,93,,,,Non-Brands,,,,,
automatización de casas inteligentes,50,Alto,99,,,,Non-Brands,,,,,
sonoff basic interruptor inteligente wifi domotica,50,Desconocido,,,,,,sonoff,,,,
focos smart philips,50,Alto,100,smart,,philips,,,,,,
interruptor inteligente smart life,50,Alto,100,smart,,,,,,,,
foco led smart wifi,50,Alto,100,smart,,,,,,,,
interruptor pared wifi,50,Alto,90,,,,Non-Brands,,,,,
dispositivos domésticos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
samsung casa inteligente,50,Alto,100,,,samsung,,,,,,
focos bluetooth alexa,50,Alto,100,,,,Non-Brands,,,,,
asistente de google para casa,50,Alto,100,,,google,,,,,,
advanced home interruptor inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor compatible alexa,50,Alto,100,,,google,,,,,,
foco inteligente coppel,50,Alto,100,,,coppel,,,,,,
interruptor de pared wifi,50,Alto,100,,,,Non-Brands,,,,,
nexxt foco,50,Alto,100,,,,,nexxt,,,,
focos philips hue color,50,Alto,100,,,philips,,,,,,
interruptor meross,50,Desconocido,,,,,Non-Brands,,,,,
foco sengled bluetooth,50,Alto,90,,,,,sengled,,,,
foco smart steren,50,Alto,100,smart,,steren,,,,,,
control persianas alexa,50,Alto,100,,,google,,,,,,
interruptor wifi doble,50,Alto,100,,,,Non-Brands,,,,,
apagadores compatibles con alexa,50,Alto,100,,,google,,,,,,
interruptor inteligente doble,50,Alto,100,,,,Non-Brands,,,,,
wiz foco a19,50,Alto,100,,,,Non-Brands,,,,,
domótica en casa con alexa,50,Desconocido,,,,,Non-Brands,,,,,
interruptor doble inteligente,50,Desconocido,,,,,Non-Brands,,,,,
interruptor wifi homekit,50,Alto,100,,homekit,apple,,,,,,
foco wiz wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores inteligentes compatibles con alexa,50,Alto,99,,,google,,,,,,
interruptor cortina wifi,50,Alto,100,,,,Non-Brands,,,,,
focos que se conectan con alexa,50,Alto,100,,para echo,,Non-Brands,,,,,
interruptor inteligente smart wifi google home amazon alexa,50,Alto,79,smart,,"google, amazon",,,,,,
bombillos xiaomi,500,Alto,100,,,xiaomi,,,,,,
focos wifi philips,50,Alto,100,,,philips,,,,,,
pulsador inteligente wifi,50,Alto,100,,,,Non-Brands,,,,,
foco smart wifi steren,50,Alto,98,smart,,steren,,,,,,
geeni foco,50,Alto,88,,,,,geeni,,,,
mejores apagadores inteligentes,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente philips,50,Alto,100,,,philips,,,,,,
enchufe inteligente sonoff,50,Desconocido,,,,,,sonoff,,,,
interruptor persianas wifi alexa,50,Alto,100,,,google,,,,,,
interruptor wifi 5ghz,50,Alto,100,,,,Non-Brands,,,,,
casa inteligente steren,50,Alto,100,,,steren,,,,,,
steren foco inteligente alexa,50,Alto,100,,,steren,,,,,,
focos inteligentes samsung,50,Alto,99,,,samsung,,,,,,
alexa casas,50,Alto,90,,,,Non-Brands,,,,,
casa inteligente con google home,50,Alto,100,,,google,,,,,,
domotica en viviendas,50,Bajo,3,,,,Non-Brands,,,,,
focos inteligentes baratos,50,Alto,100,,,,Non-Brands,,,,,
foco xiaomi led,50,Alto,100,smart,,xiaomi,,mi,,,,
lámparas inteligentes home depot,50,Alto,100,,,home depot,,,,,,
relé inteligente wifi,50,Desconocido,,,,,Non-Brands,,,,,
focos compatibles con siri,50,Alto,100,,"siri, homekit",apple,,,,,,
llaves de luz inteligentes,50,Desconocido,,,,,Non-Brands,,,,,
interruptores y enchufes inteligentes,50,Desconocido,,,,,Non-Brands,,,,,
focos de colores philips,50,Alto,99,,,philips,,,,,,
interruptor wifi 3 vias,50,Alto,100,,,,Non-Brands,,,,,
kupiix,50,Alto,67,,,,Non-Brands,,,,,
alarma inteligente para casa,50,Alto,100,,,,Non-Brands,,,,,
foco philips hue color,50,Alto,100,,,philips,,,,,,
interruptor hue philips,50,Alto,100,,,philips,,,,,,
asistente virtual inteligente,50,Alto,93,,asistentes virtuales,,Non-Brands,,,,,
philips hue focos,5000,Alto,100,,,philips,,,,,,
foco de xiaomi,50,Alto,100,,,xiaomi,,mi,,,,
persianas electricas alexa,50,Alto,100,,,google,,,,,,
alexa para la casa,50,Alto,96,,para echo,,Non-Brands,,,,,
controlador de luces para casa,50,Alto,100,,,,Non-Brands,,,,,
automatizacion casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor persiana wifi homekit,,Desconocido,,,homekit,apple,,,,,,
interruptor wifi easy,,Desconocido,,,,easy,,,,,,
interruptor de luz smart,50,Alto,100,smart,,,,,,,,
foco inteligente lifx,50,Alto,100,,,,,lifx,,,,
domotica inteligente,50,Alto,100,,,,Non-Brands,,,,,
focos de google,50,Alto,100,,,google,,,,,,
hogares inteligentes 2020,50,Bajo,10,,,,Non-Brands,,,,,
philips hue empotrable,50,Alto,100,,,philips,,,,,,
tu hogar inteligente,50,Medio,33,,tu hogar inteligente,,Non-Brands,,,,,
asistente artificial,50,Medio,40,,asistentes virtuales,,Non-Brands,,,,,
foco inteligente stf,50,Alto,100,smart,,,,,,,,
smart life interruptor,50,Desconocido,,smart,,,,,,,,
wiz foco inteligente,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente merkury,50,Alto,100,,,,,merkury,,,,
foco smart life,50,Alto,100,smart,,,,,,,,
stf foco inteligente,50,Alto,87,smart,,,,,,,,
apagadores con wifi,50,Alto,100,,,,Non-Brands,,,,,
ewelink luz inteligente,50,Desconocido,,,,,,sonoff,,,,
focos led compatibles con alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente 3 vias,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi empotrable,,Desconocido,,,,,Non-Brands,,,,,
moes interruptor wifi manual,50,Alto,100,smart,,,,,,,,
casa conectada de google,50,Bajo,2,,,google,,,,,,
comparativa asistentes de voz,50,Bajo,0,,,google,,,,,,
interruptor de pared inteligente,50,Alto,100,,,,Non-Brands,,,,,
sistema de control de luces para casa,50,Alto,100,,,,Non-Brands,,,,,
la domotica en el hogar,50,Bajo,3,,,,Non-Brands,,,,,
wifi interruptor inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente halux,,Desconocido,,,,,Non-Brands,,,,,
teckin interruptor,,Desconocido,,,,,Non-Brands,,,,,
domótica en casa barata,0,Desconocido,,,,,Non-Brands,,,,,
domotica interruptor luz,50,Desconocido,,,,,Non-Brands,,,,,
xiaomi foco led,50,Alto,100,smart,,xiaomi,,mi,,,,
amazon interruptor inteligente,50,Alto,100,,,amazon,,,,,,
interruptor controlado por wifi,50,Desconocido,,,,,Non-Brands,,,,,
asistente de voz inteligente,50,Alto,98,,,google,,,,,,
empresas de casas inteligentes,50,Medio,55,,,,Non-Brands,,,,,
interruptor inteligente persianas,50,Desconocido,,,,,Non-Brands,,,,,
alexa amazon casa inteligente,50,Alto,86,,,amazon,,,,,,
tp link interruptor inteligente,50,Alto,100,,,,,tp link,,,,
interruptor wifi 2 vias,50,Alto,100,,,,Non-Brands,,,,,
interruptor de luz para alexa,50,Alto,100,,,google,,,,,,
alexa para toda la casa,50,Alto,100,,para echo,,Non-Brands,,,,,
asistente de voz que es,50,Bajo,0,,,,Non-Brands,,,,,
focos led con wifi,50,Alto,100,,,,Non-Brands,,,,,
persiana electrica alexa,50,Alto,100,,,,Non-Brands,,,,,
sistema alexa casa,50,Desconocido,,,,,Non-Brands,,,,,
hue interruptor,50,Alto,100,,,philips,,,,,,
apagadores inteligentes sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor inteligente wifi sin neutro,50,Alto,100,,,,Non-Brands,,,,,
interruptor luz domotica,50,Alto,100,,,,Non-Brands,,,,,
interruptor luz google home,50,Alto,100,,,google,,,,,,
foco sengled alexa,50,Alto,100,smart,,google,,sengled,,,,
comparativa google home y alexa,50,Alto,100,,,google,,,,,,
interruptores tactiles wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores wifi sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor alexa luz,50,Desconocido,,,,google,,,,,,
interruptor electrico wifi,50,Medio,43,,,,Non-Brands,,,,,
focos inteligentes radioshack,50,Alto,100,,,radioshack,,,,,,
alexa y focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi sin neutro amazon,50,Desconocido,,,,amazon,,,,,,
control de persianas wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores inteligentes sin neutro,500,Alto,100,,,,Non-Brands,,,,,
smart life foco,50,Alto,100,smart,,,,,,,,
sonoff interruptor doble,50,Alto,100,,,,,sonoff,,,,
alexa controla la casa,50,Alto,100,,para echo,,Non-Brands,,,,,
interruptor doble alexa,50,Alto,100,,,,Non-Brands,,,,,
focos para google home mini,50,Alto,100,mini,,google,,,,,,
interruptor inteligente moes,50,Alto,100,smart,,,,,,,,
focos amazon alexa,50,Alto,100,,,amazon,,,,,,
controlador de casa inteligente,50,Alto,100,smart,,,,,,,,
interruptor wifi mini,50,Desconocido,,mini,,,,sonoff,,,,
llave de luz wifi,50,Desconocido,,,,,Non-Brands,,,,,
focos compatibles con homepod,50,Alto,100,,homekit,apple,,,,,,
vivienda domotizada,50,Bajo,0,,,,Non-Brands,,,,,
diferencias google home y alexa,50,Alto,81,,,google,,,,,,
interruptor inteligente advanced home,50,Alto,100,,,,Non-Brands,,,,,
cuantos asistentes de voz existen,50,Bajo,1,,asistentes virtuales,,Non-Brands,,,,,
foco led wiz,50,Alto,100,,,,Non-Brands,,,,,
foco smart led,50,Alto,100,smart,,,,,,,,
interruptor aqara sin neutro,50,Desconocido,,,,xiaomi,,,,,,
nexxt foco smart,50,Alto,100,smart,,,,nexxt,,,,
sonoff interruptor pared,50,Alto,100,,,,,sonoff,,,,
interruptor wifi con enchufe,50,Alto,100,,,,Non-Brands,,,,,
comparar alexa con google home,50,Alto,100,,,google,,,,,,
interruptor persiana inteligente,50,Alto,100,,,,Non-Brands,,,,,
google home interruptor,50,Alto,100,,,google,,,,,,
focos inteligentes compatibles con siri,50,Alto,100,,"siri, homekit",,Non-Brands,,,,,
interruptor inteligente home depot,50,Alto,100,,,home depot,,,,,,
focos philips bluetooth,50,Alto,100,,,philips,,,,,,
focos wifi google home,50,Alto,100,,,google,,,,,,
interruptores touch wifi,50,Alto,100,,,,Non-Brands,,,,,
sonoff wifi mini,50,Desconocido,,mini,,,,sonoff,,,,
google interruptor,50,Alto,100,,,google,,,,,,
interruptor inteligente escalera,50,Alto,100,,,,Non-Brands,,,,,
